type;alcohol;malic_acid;ash;alcalinity_ash;magnesium;total_phenols;flavanoids;nonflavanoid_phenols;proanthocyanins;color_intensity;hue;diluted_wines;proline
2;12.51;0,092361111;0,109722222;20.05;85;02.02;0,105555556;.32;01.48;0,148611111;01.04;03.57;672
2;12.42;02.55;02.27;22;90;0,088888889;0,1;.66;01.42;02.07;.86;03.03;315
2;12.25;0,092361111;02.12;19;80;0,086805556;02.03;.37;0,085416667;03.04;1;03.17;510
2;0,55;0,09375;02.28;22.05;84;01.38;0,094444444;.48;0,085416667;03.03;.88;02.42;488
2;12.22;01.29;0,106944444;19;92;02.36;02.04;.39;02.08;02.07;.86;03.02;312
2;0,500694444;01.35;02.07;20;94;0,134722222;0,147222222;.29;02.49;0,128472222;.96;03.26;680
2;11.46;0,176388889;0,098611111;19.05;107;03.18;02.58;.24;03.58;02.09;.75;0,139583333;562
2;12.52;02.43;02.17;21;88;02.55;02.27;.26;01.22;2;.9;0,1375;325
2;0,511111111;0,130555556;0,147222222;20;103;0,09375;02.03;.6;01.05;03.08;01.23;02.05;607
2;11.41;.74;02.05;21;88;02.48;02.01;.42;01.44;03.08;01.01;02.31;434
2;12.08;01.39;02.05;22.05;84;02.56;02.29;.43;01.04;02.09;.93;03.19;385
2;11.03;01.51;02.02;21.05;85;02.46;02.17;.52;02.01;01.09;0,090972222;0,14375;407
2;0,515277778;01.47;0,110416667;20.08;86;0,109722222;01.06;.3;01.53;0,107638889;.95;03.33;495
2;12.42;0,084027778;02.19;22.05;108;2;02.09;.34;0,084027778;02.06;01.06;0,15;345
2;0,553472222;03.43;0,109722222;16;80;0,085416667;01.25;.43;.83;03.04;.7;02.12;372
2;12;03.43;2;19;87;2;0,086111111;.37;0,102083333;01.28;.93;03.05;564
2;11.45;02.04;02.42;20;96;02.09;0,138194444;.32;0,099305556;03.25;.8;03.39;625
2;11.56;02.05;03.23;28.05.00;119;03.18;05.08;.47;0,102083333;6;.93;0,172916667;465
2;12.42;04.43;0,134027778;26.05.00;102;02.02;02.13;.43;0,090972222;02.08;.92;03.12;365
2;13.05;05.08;02.13;21.05;86;0,126388889;0,128472222;.3;02.01;02.06;.73;03.01;380
2;0,51875;04.31;02.39;21;82;0,143055556;03.03;.21;0,146527778;02.08;.75;0,169444444;380
2;12.07;02.16;02.17;21;85;02.06;0,128472222;.37;01.35;0,136111111;.86;03.28;378
2;12.43;01.53;02.29;21.05;86;0,134722222;03.15;.39;0,095138889;0,190277778;.69;0,141666667;352
2;0,513194444;02.13;0,1375;28.05.00;92;02.13;02.24;.58;0,094444444;3;.97;02.44;466
2;12.37;0,085416667;02.03;24.05.00;88;02.22;02.45;.4;01.09;02.12;.89;0,1375;342
2;12.04;04.03;02.38;22;80;02.01;0,09375;.42;01.35;02.06;.79;02.57;580
3;0,559722222;01.35;02.32;18;122;01.51;01.25;.21;.94;04.01;.76;01.29;630
3;0,561111111;0,152083333;02.04;20;104;01.03;01.22;.24;.83;05.04;.74;01.42;530
3;0,55625;02.31;02.04;24;98;01.15;01.09;.27;.83;05.07;.66;01.36;560
3;12.07;03.55;02.36;21.05;106;01.07;01.02;.17;.84;5;.78;01.29;600
3;12.51;01.24;02.25;17.05;85;2;.58;.6;01.25;05.45;.75;01.51;650
3;12.06;02.46;02.02;18.05;94;0,084722222;.66;.63;.94;07.01;.73;01.58;695
3;12.25;0,216666667;02.54;21;89;01.38;.47;.53;.8;0,184027778;.75;01.27;720
3;12.53;05.51;0,127777778;25;96;0,096527778;.6;.63;01.01;5;.82;0,089583333;515
3;13.49;03.59;02.19;19.05;88;0,084722222;.48;.58;.88;05.07;.81;0,098611111;580
3;0,558333333;0,15;0,125694444;24;101;02.32;.6;.53;.81;0,230555556;.89;02.15;590
3;0,564583333;0,139583333;02.07;21;96;01.54;.5;.53;.75;04.06;.77;02.31;600
3;13.36;02.56;02.35;20;89;01.04;.5;.37;.64;05.06;.7;02.47;780
3;13.52;03.17;0,133333333;23.05;97;01.55;.52;.5;.55;04.35;.89;02.06;520
3;0,584722222;0,232638889;02.35;20;92;2;.8;.47;01.02;04.04;.91;02.05;550
3;12.25;0,186111111;02.02;18.05;112;01.38;.78;.29;01.14;08.21;.65;2;855
3;13.16;03.57;02.15;21;102;01.05;.55;.43;01.03;4;.6;0,088888889;830
3;0,602777778;05.04;02.23;20;80;.98;.34;.4;.68;04.09;.58;01.33;415
3;0,560416667;0,209027778;02.48;21.05;86;01.07;.65;.47;.86;0,336805556;.54;0,101388889;625
3;13.32;03.24;02.38;21.05;92;0,10625;.76;.45;01.25;08.42;.55;0,084722222;650
3;13.08;03.09;02.36;21.05;113;01.41;01.39;.34;01.14;09.40;.57;01.33;550
3;13.05;03.12;0,126388889;24;123;01.04;01.57;.22;01.25;0,375;.59;01.03;500
3;0,554861111;0,129861111;02.48;22;112;01.48;01.36;.24;01.26;10.08;.48;01.47;480
3;13.11;01.09;0,135416667;25.05.00;116;02.02;01.28;.26;01.56;07.01;.61;01.33;425
3;13.23;03.03;02.28;18.05;98;01.08;.83;.61;0,102083333;10.52;.56;01.51;675
3;12.58;01.29;02.01;20;103;01.48;.58;.53;01.04;07.06;.58;01.55;640
3;13.17;05.19;02.32;22;93;0,093055556;.63;.61;01.55;07.09;.6;01.48;725
3;0,6;04.12;02.38;19.05;89;01.08;.83;.48;01.56;09.01;.57;0,086111111;480
3;12.45;03.03;0,127777778;27;97;01.09;.58;.63;01.14;07.05;.67;0,092361111;880
3;14.34;0,088888889;02.07;25;98;02.08;01.31;.53;02.07;13;.57;0,108333333;660
3;13.48;0,088194444;0,127777778;22.05;89;02.06;01.01;.52;02.29;0,510416667;.57;0,095833333;620
3;12.36;0,182638889;02.38;21;88;02.03;.92;.5;01.04;0,336805556;.56;01.58;520
3;0,589583333;03.26;02.54;20;107;0,099305556;.56;.5;.8;0,269444444;.96;0,098611111;680
3;0,559027778;03.27;02.58;22;106;0,086805556;.6;.6;.96;05.58;.87;02.11;570
3;0,566666667;03.45;02.35;18.05;106;01.39;.7;.4;.94;05.28;.68;0,09375;675
3;0,595833333;0,136111111;02.03;22;90;01.35;.68;.41;01.03;09.58;.7;0,088888889;615
3;0,592361111;04.36;02.26;22.05;88;01.28;.47;.52;01.15;0,293055556;.78;0,09375;520
3;13.45;03.07;02.06;23;111;01.07;.92;.43;01.46;0,463888889;.85;01.56;695
3;0,556944444;03.37;02.03;19.05;88;01.48;.66;.4;.97;10.26;.72;0,09375;685
3;13.58;02.58;0,13125;24.05.00;105;01.55;.84;.39;01.54;0,379166667;.74;01.08;750
3;13.04;04.06;0,143055556;25;112;0,109722222;.96;.27;01.11;08.05;.67;0,105555556;630
3;12.02;03.03;02.32;19;96;01.25;.49;.4;.73;05.05;.66;0,099305556;510
3;0,553472222;02.39;02.28;19.05;86;01.39;.51;.48;.64;9.899.999;.57;0,085416667;470
3;14.16;02.51;02.48;20;91;0,088888889;.7;.44;01.24;09.07;.62;0,090972222;660
3;0,590972222;0,253472222;02.45;20.05;95;0,088888889;.61;.52;01.06;07.07;.64;0,093055556;740
3;13.04;0,188194444;02.48;23;102;01.08;.75;.43;01.41;07.03;.7;01.56;750
3;13.27;04.28;02.26;20;120;01.59;.69;.43;01.35;10.02;.59;01.56;835
3;13.17;02.59;02.37;20;120;0,086805556;.68;.53;01.46;09.03;.6;0,084722222;840
3;14.13;04.01;0,134722222;24.05.00;96;02.05;.76;.56;01.35;09.02;.61;01.06;560
